#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
E2F3	PKIB	9606.ENSP00000262904	9606.ENSP00000480824	0	0	0	0	0	0.192	0	0	0.192
EXOC5	RAC2	9606.ENSP00000484855	9606.ENSP00000249071	0	0	0	0	0	0.151	0	0	0.150
GNAI1	MAPK14	9606.ENSP00000343027	9606.ENSP00000229795	0	0	0	0	0	0.247	0	0	0.246
GNAI1	RAC2	9606.ENSP00000343027	9606.ENSP00000249071	0	0	0	0	0	0.352	0	0	0.351
GNAI1	STRN	9606.ENSP00000343027	9606.ENSP00000263918	0	0	0	0	0	0.213	0	0	0.213
GNAI1	PDE6D	9606.ENSP00000343027	9606.ENSP00000287600	0	0	0	0	0	0.213	0	0	0.213
GNAI1	YES1	9606.ENSP00000343027	9606.ENSP00000462468	0	0	0	0	0	0.159	0	0	0.158
GNAI1	KIF20A	9606.ENSP00000343027	9606.ENSP00000378356	0	0	0	0	0	0.318	0	0	0.318
GTPBP2	TXNIP	9606.ENSP00000303997	9606.ENSP00000462521	0	0	0	0	0	0.155	0	0	0.154
GTPBP2	KCTD14	9606.ENSP00000303997	9606.ENSP00000316482	0	0	0	0	0	0.208	0	0	0.208
GTPBP2	IFI30	9606.ENSP00000303997	9606.ENSP00000384886	0	0	0	0	0	0.277	0	0	0.277
HIP1R	TMEM203	9606.ENSP00000253083	9606.ENSP00000375053	0	0	0	0	0	0.171	0	0	0.171
HIP1R	IL13RA2	9606.ENSP00000253083	9606.ENSP00000361004	0	0	0	0	0	0.189	0	0	0.189
IL13RA2	SLC9A7	9606.ENSP00000361004	9606.ENSP00000480916	0	0	0	0	0	0.373	0	0	0.373
ITPA	NSFL1C	9606.ENSP00000369456	9606.ENSP00000418529	0	0	0	0	0	0.272	0	0	0.272
KBTBD12	MIB1	9606.ENSP00000385957	9606.ENSP00000261537	0	0	0	0	0	0.152	0	0	0.151
KIF20A	PABPC1L	9606.ENSP00000378356	9606.ENSP00000255136	0	0	0	0	0	0.270	0	0	0.270
KIF20A	MIB1	9606.ENSP00000378356	9606.ENSP00000261537	0	0	0	0	0	0.155	0	0	0.154
KIF20A	UCHL1	9606.ENSP00000378356	9606.ENSP00000284440	0	0	0	0	0	0.281	0	0	0.281
KIF20A	PPP1R3B	9606.ENSP00000378356	9606.ENSP00000308318	0	0	0	0	0	0.156	0	0	0.155
KIF20A	WDR75	9606.ENSP00000378356	9606.ENSP00000314193	0	0	0	0	0	0.270	0	0	0.270
KIF20A	SEH1L	9606.ENSP00000378356	9606.ENSP00000382779	0	0	0	0	0	0.270	0	0	0.270
KIF20A	YES1	9606.ENSP00000378356	9606.ENSP00000462468	0	0	0	0	0	0.317	0	0	0.317
KIF20A	NEDD1	9606.ENSP00000378356	9606.ENSP00000451211	0	0	0	0	0	0.177	0	0	0.177
KLHL6	MIB1	9606.ENSP00000341342	9606.ENSP00000261537	0	0	0	0	0	0.152	0	0	0.151
MAPK14	MIB1	9606.ENSP00000229795	9606.ENSP00000261537	0	0	0	0	0	0.184	0	0	0.183
MAPK14	STYXL1	9606.ENSP00000229795	9606.ENSP00000248600	0	0	0	0	0	0.244	0	0	0.243
MAPK14	RAC2	9606.ENSP00000229795	9606.ENSP00000249071	0	0	0	0	0	0.247	0	0	0.246
MAPK14	MAPKAPK5	9606.ENSP00000229795	9606.ENSP00000449381	0	0	0	0.600	0	0.499	0	0	0.499
METTL7A	SMC1B	9606.ENSP00000448785	9606.ENSP00000350036	0	0	0	0	0	0.160	0	0	0.159
MIB1	PYGB	9606.ENSP00000261537	9606.ENSP00000216962	0	0	0	0	0	0.176	0	0	0.175
MIB1	RAC2	9606.ENSP00000261537	9606.ENSP00000249071	0	0	0	0	0	0.153	0	0	0.152
MIB1	PABPC1L	9606.ENSP00000261537	9606.ENSP00000255136	0	0	0	0	0	0.244	0	0	0.243
MIB1	TMEM203	9606.ENSP00000261537	9606.ENSP00000375053	0	0	0	0	0	0.178	0	0	0.177
MIB1	PRPF4B	9606.ENSP00000261537	9606.ENSP00000337194	0	0	0	0	0	0.176	0	0	0.175
MIB1	YES1	9606.ENSP00000261537	9606.ENSP00000462468	0	0	0	0	0	0.182	0	0	0.181
MIB1	NEURL3	9606.ENSP00000261537	9606.ENSP00000478591	0	0	0	0	0	0.246	0	0	0.245
PARP3	TXNIP	9606.ENSP00000381740	9606.ENSP00000462521	0	0	0	0	0	0.179	0	0	0.179
PDE6D	RAC2	9606.ENSP00000287600	9606.ENSP00000249071	0	0	0	0	0	0.681	0	0	0.681
PPP1R3B	PYGB	9606.ENSP00000308318	9606.ENSP00000216962	0	0	0	0	0	0.369	0	0	0.369
RAD52	SMC1B	9606.ENSP00000351284	9606.ENSP00000350036	0	0	0	0	0	0.226	0	0	0.225
RFFL	RNF34	9606.ENSP00000326170	9606.ENSP00000376258	0	0	0	0.896	0	0.333	0	0	0.333
SCN5A	SLC12A4	9606.ENSP00000410257	9606.ENSP00000395983	0	0	0	0	0	0.169	0	0	0.169
SMC1B	VRK2	9606.ENSP00000350036	9606.ENSP00000408002	0	0	0	0	0	0.209	0	0	0.209
TACC3	TBC1D22B	9606.ENSP00000326550	9606.ENSP00000362590	0	0	0	0	0	0.272	0	0	0.272
